,imagePath,videoFile,imageName,timeStamp,altitude,pixelDimension,length,notes,balaenaAngled
V2,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0005.MP4_00_00_02_vlc00001.png,DJI_0005.MP4,DJI_0005.MP4_00_00_02_vlc00001.png,0:02,50.4,0.001640625,12.72,pos_C,y
V21,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0005.MP4_00_00_04_vlc00002.png,DJI_0005.MP4,DJI_0005.MP4_00_00_04_vlc00002.png,0:04,49.7,0.001640625,12.88,pos_C,y
V22,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0006.MP4_00_03_03_vlc00001.png,DJI_0006.MP4,DJI_0006.MP4_00_03_03_vlc00001.png,3:03,119.4,0.001640625,13.01,pos_O,y
V23,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0006.MP4_00_03_11_vlc00002.png,DJI_0006.MP4,DJI_0006.MP4_00_03_11_vlc00002.png,3:11,120.1,0.001640625,13.08,pos_O,y
V24,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0006.MP4_00_03_14_vlc00003.png,DJI_0006.MP4,DJI_0006.MP4_00_03_14_vlc00003.png,3:14,120.3,0.001640625,13.16,pos_O,y
V25,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0006.MP4_00_03_16_vlc00004.png,DJI_0006.MP4,DJI_0006.MP4_00_03_16_vlc00004.png,3:16,119.7,0.001640625,13.25,pos_O,y
V26,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0006.MP4_00_03_29_vlc00001.png,DJI_0006.MP4,DJI_0006.MP4_00_03_29_vlc00001.png,3:29,120.2,0.001640625,13.3,pos_O,n
V27,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0008.MP4_00_07_52_vlc00001.png,DJI_0008.MP4,DJI_0008.MP4_00_07_52_vlc00001.png,7:52,35.1,0.003229167,13.26,pos_C,y
V28,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0010.MP4_00_04_12_vlc00001.png,DJI_0010.MP4,DJI_0010.MP4_00_04_12_vlc00001.png,4:12,33.1,0.003229167,12.39,pos_C,n
V29,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations/DJI_0010.MP4_00_04_24_vlc00001.png,DJI_0010.MP4,DJI_0010.MP4_00_04_24_vlc00001.png,4:24,30,0.003229167,12.85,pos_O,y
