"","videoFile","Duration_sec","GPSCoordinates","LocalTime","TripNo","FlightNo","FirstAltitude","cameraISO","cameraShutterSpeed","cameraEV","cameraFnum"
"1","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0006.MP4",187.654133333333,"-2.4316 -90.1544",2023-01-29 15:34:51,1,1,35.2,100,506.49,0,2.8
"2","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0007.MP4",306.8065,"-0.8368 -91.9511",2023-02-01 08:23:47,1,2,21.5,100,110.59,0,2.8
"3","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0008.MP4",574.540633333333,"-0.8515 -91.9438",2023-02-01 09:19:05,1,3,36.7,100,227.25,0,2.8
"4","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0009.MP4",424.190433333333,"-0.8782 -91.8755",2023-02-01 11:17:57,1,4,38.4,100,289.96,0,2.8
"5","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0010.MP4",371.838133333333,"-0.888 -91.8591",2023-02-01 12:08:56,1,5,26.8,100,639.28,0,2.8
"6","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0011.MP4",624.957666666667,"-0.8962 -91.8661",2023-02-01 13:01:07,1,6,17,100,324.88,0,2.8
"7","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0012.MP4",739.772366666667,"-0.8931 -91.8503",2023-02-01 13:55:02,1,7,0,100,1185.21,0,2.8
"8","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0013.MP4",589.822566666667,"-0.9088 -91.8611",2023-02-01 15:42:08,1,8,24.1,100,985.91,0,2.8
"9","/Volumes/GalDron23B/Drone_2023/02012023/DJI_0014.MP4",631.197233333333,"-0.9351 -91.8801",2023-02-01 18:22:19,1,9,13.4,250,30.15,0,2.8
"10","/Volumes/GalDron23B/Drone_2023/02082023/DJI_0015.MP4",388.221166666667,"-1.5482 -90.9576",2023-02-08 07:37:10,1,10,31.3,100,2004.13,0,2.8
"11","/Volumes/GalDron23B/Drone_2023/02082023/DJI_0016.MP4",433.499733333333,"-1.5789 -90.9311",2023-02-08 08:40:58,1,11,0,100,4140.62,0,2.8
"12","/Volumes/GalDron23B/Drone_2023/02082023/DJI_0017.MP4",561.193966666667,"-1.6423 -90.8548",2023-02-08 11:10:55,1,12,0,100,1440.34,0,2.8
"13","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0020.MP4",427.560466666667,"-0.9393 -88.0961",2023-02-15 09:33:19,2,13,0,100,1520.47,0,2.8
"14","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0021.MP4",582.648733333333,"-0.9308 -88.0996",2023-02-15 09:45:57,2,14,28.3,110,1432.56,0,2.8
"15","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0022.MP4",0.0667333333333333,"-0.9094 -88.1047",2023-02-15 10:07:31,2,15,20,110,847.2,0,2.8
"16","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0023.MP4",293.326366666667,"-0.9094 -88.1047",2023-02-15 10:07:34,2,15,20,110,847.2,0,2.8
"17","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0024.MP4",621.4208,"-0.9078 -88.1065",2023-02-15 10:15:09,2,16,15.8,100,218.8,0,2.8
"18","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0025.MP4",628.094133333333,"-0.9068 -88.1129",2023-02-15 10:30:18,2,17,16.2,110,2115.64,0,2.8
"19","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0026.MP4",511.744566666667,"-0.9031 -88.1193",2023-02-15 10:46:17,2,18,22.9,110,1878.04,0,2.8
"20","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0028.MP4",752.718633333333,"-0.7681 -88.189",2023-02-15 14:51:25,2,19,27,100,985.91,0,2.8
"21","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0029.MP4",619.2186,"-0.757 -88.1975",2023-02-15 15:11:40,2,20,26.1,100,576.78,0,2.8
"22","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0030.MP4",770.136033333333,"-0.746 -88.2035",2023-02-15 15:24:49,2,21,57.9,100,166.9,0,2.8
"23","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0031.MP4",343.309633333333,"-0.7243 -88.2155",2023-02-15 15:51:36,2,22,32.4,100,184.98,0,2.8
"24","/Volumes/GalDron23B/Drone_2023/02152023/DJI_0032.MP4",563.7632,"-0.719 -88.2145",2023-02-15 16:01:21,2,23,63.3,100,237.31,0,2.8
