,SourceFile,FileName,FileModifyDate,ImageWidth,ImageHeight,BitDepth,Date,Done?,Piecewise?
1,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0005.MP4_00_00_02_vlc00001.png,DJI_0005.MP4_00_00_02_vlc00001.png,2023:07:14 17:11:03-03:00,3840,2160,8,08-Apr-23,yes,yes
2,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0005.MP4_00_00_04_vlc00002.png,DJI_0005.MP4_00_00_04_vlc00002.png,2023:07:14 17:11:08-03:00,3840,2160,8,08-Apr-23,yes,yes
3,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0006.MP4_00_03_03_vlc00001.png,DJI_0006.MP4_00_03_03_vlc00001.png,2023:07:14 17:12:37-03:00,3840,2160,8,08-Apr-23,yes,yes
4,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0006.MP4_00_03_11_vlc00002.png,DJI_0006.MP4_00_03_11_vlc00002.png,2023:07:14 17:12:49-03:00,3840,2160,8,08-Apr-23,yes,yes
5,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0006.MP4_00_03_14_vlc00003.png,DJI_0006.MP4_00_03_14_vlc00003.png,2023:07:14 17:12:55-03:00,3840,2160,8,08-Apr-23,yes,yes
6,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0006.MP4_00_03_16_vlc00004.png,DJI_0006.MP4_00_03_16_vlc00004.png,2023:07:14 17:13:01-03:00,3840,2160,8,08-Apr-23,yes,yes
7,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0006.MP4_00_03_29_vlc00001.png,DJI_0006.MP4_00_03_29_vlc00001.png,2023:07:14 17:13:59-03:00,3840,2160,8,08-Apr-23,yes,yes
8,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0008.MP4_00_07_52_vlc00001.png,DJI_0008.MP4_00_07_52_vlc00001.png,2023:07:11 11:54:43-03:00,1920,1080,8,01-Feb-23,yes,yes
9,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0010.MP4_00_04_12_vlc00001.png,DJI_0010.MP4_00_04_12_vlc00001.png,2023:07:11 12:05:07-03:00,1920,1080,8,01-Feb-23,yes,yes
10,/Users/anacristinaeguigurenburneo/Documents/Galapagos2023_Drone_Snapshots/Balaena_Callibrations//DJI_0010.MP4_00_04_24_vlc00001.png,DJI_0010.MP4_00_04_24_vlc00001.png,2023:07:11 12:07:54-03:00,1920,1080,8,01-Feb-23,yes,yes
